NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.106254	13.5	-1	-1	16.4	-1	-1	-1	-1	-1	-1
Hs.106296	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.1063	32.1	86.1	80.3	83.5	109.3	15.1	95	97.8	19.2	104.8
Hs.106304	2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.106311	43.1	-1	3.2	17.8	-1	5	-1	-1	19.2	46.6
Hs.106359	5.1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.106432	26.2	13	12.9	17.8	7.8	30.2	10.6	9.8	-1	31.1
Hs.106469	52.3	36.5	22.5	24.6	23.4	35.2	52.8	39.1	48	19.4
Hs.10649	11.8	117.3	25.7	28.7	15.6	15.1	-1	68.4	-1	31.1
Hs.106510	7.6	15.6	22.5	9.6	-1	5	42.2	4.9	-1	19.4
Hs.106511	55.7	15.6	9.6	31.5	31.2	15.1	-1	34.2	19.2	50.5
Hs.106513	21.1	2.6	3.2	20.5	-1	5	42.2	-1	-1	-1
Hs.106529	24.5	10.4	16.1	27.4	39	25.2	21.1	19.6	67.2	19.4
Hs.10653	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.106532	2.5	-1	-1	2.7	15.6	-1	-1	-1	-1	3.9
Hs.106554	5.9	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.106576	79.4	-1	-1	-1	-1	-1	-1	4.9	57.6	-1
Hs.106601	22.8	7.8	3.2	21.9	7.8	5	31.7	9.8	19.2	34.9
Hs.106650	23.6	33.9	19.3	32.8	31.2	25.2	-1	68.4	57.6	11.6
Hs.106674	105.5	62.6	54.6	120.4	101.5	110.7	31.7	34.2	76.8	27.2
Hs.106688	12.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.106730	28.7	18.3	3.2	34.2	23.4	10.1	-1	4.9	48	38.8
Hs.106795	6.8	-1	-1	13.7	-1	-1	-1	-1	-1	-1
Hs.106801	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.106857	65.9	-1	12.9	6.8	15.6	5	-1	4.9	-1	11.6
Hs.106861	77.7	60	77.1	69.8	85.9	105.6	63.3	44	86.4	97.1
Hs.106876	184.1	151.2	115.7	130	132.7	166	84.4	73.3	76.8	116.5
Hs.10688	0.8	2.6	-1	46.5	-1	-1	10.6	4.9	-1	-1
Hs.106880	10.1	7.8	19.3	12.3	7.8	15.1	10.6	24.4	38.4	-1
Hs.106909	70.1	44.3	99.6	90.3	156.2	45.3	126.7	63.5	144	85.4
Hs.10697	15.2	-1	3.2	17.8	-1	-1	-1	34.2	38.4	-1
Hs.107003	32.9	18.3	57.8	31.5	70.3	75.5	-1	19.6	57.6	34.9
